source,target,value,layer,wave,fragment
38,703,3,1,1,1
38,725,4,5,1,3
39,402,3,4,1,1
39,453,3,1,1,1
39,479,3,4,1,1
39,531,5,4,1,1
39,616,4,4,1,1
40,45,3,1,1,1
40,50,3,3,1,1
40,489,4,3,1,1
40,596,3,1,2,1
40,667,7,3,1,1
41,632,3,1,1,1
42,206,6,3,1,1
42,285,4,3,1,1
42,635,4,3,1,1
43,360,3,1,1,1
44,70,25,3,2,1
44,148,29,3,3,1
44,326,3,3,3,1
44,350,3,1,1,1
44,366,13,3,3,1
44,387,3,2,1,1
44,469,7,3,1,1
44,588,7,2,1,1
46,242,9,2,2,1
46,406,3,2,2,1
46,588,3,2,1,1
46,658,4,1,1,1
47,574,3,1,1,1
48,69,3,1,1,1
48,77,3,9,1,1
48,78,28,9,3,1
48,81,10,5,1,1
48,89,40,9,5,10
48,92,5,2,1,2
48,98,10,2,1,1
48,101,4,9,4,1
48,110,8,13,1,1
48,115,25,13,1,1
48,121,8,9,5,13
48,157,5,5,1,1
48,161,8,2,1,1
48,165,3,2,1,1
48,172,4,1,1,1
48,185,6,9,5,13
48,189,46,13,1,1
48,200,4,5,8,2
48,237,82,5,11,1
48,257,9,5,11,2
48,258,10,13,1,1
48,288,3,2,1,1
48,290,7,2,1,1
48,293,17,5,11,1
48,314,76,5,2,1
48,327,8,9,5,13
48,336,13,13,1,1
48,339,25,5,1,1
48,348,14,9,1,1
48,354,53,13,1,1
48,360,71,9,5,11
48,368,12,9,5,9
48,384,17,2,1,1
48,386,3,2,1,1
48,399,24,5,11,2
48,409,31,5,1,1
48,429,4,1,1,1
48,439,3,5,11,3
48,464,4,5,11,3
48,466,9,1,1,1
48,472,7,9,5,13
48,484,39,9,5,1
48,495,24,5,1,1
48,499,13,9,5,3
48,501,17,5,10,1
48,532,4,1,1,1
48,538,3,13,1,1
48,542,14,9,5,13
48,547,3,1,1,1
48,568,10,9,5,13
48,573,5,9,1,1
48,577,7,1,1,1
48,598,20,9,5,7
48,600,44,13,1,1
48,602,17,13,1,1
48,607,3,9,5,9
48,617,21,9,5,3
48,619,13,5,2,1
48,632,58,13,1,1
48,633,155,13,1,1
48,683,29,2,2,5
48,686,4,2,1,1
48,692,5,2,1,1
48,696,7,9,5,8
48,699,21,5,9,1
48,700,5,9,5,13
48,708,24,5,11,1
48,709,6,5,1,3
48,710,5,9,5,9
48,726,11,13,1,1
48,729,13,13,1,1
48,732,6,1,1,1
48,740,6,5,4,1
48,743,4,5,1,1
48,749,20,2,1,1
48,759,10,2,3,1
48,761,15,2,3,1
48,775,3,5,1,1
48,790,32,5,10,5
48,791,6,1,1,1
49,115,3,5,1,9
49,178,3,5,1,6
49,227,3,5,1,3
49,240,6,1,1,1
49,354,6,5,1,9
49,499,22,5,1,5
49,633,3,5,1,9
50,60,15,5,2,1
50,123,4,2,1,2
50,151,5,5,1,1
50,210,23,5,1,1
50,224,8,5,2,1
50,249,3,5,1,1
50,264,3,3,1,1
50,274,3,3,1,4
50,373,15,3,1,1
50,556,8,3,1,1
50,582,3,2,1,1
50,602,4,5,2,1
50,608,7,3,1,4
50,611,3,1,1,1
50,667,16,5,2,1
50,678,3,2,1,1
50,696,48,5,2,1
50,714,3,1,1,1
50,720,16,3,1,1
50,724,3,3,1,1
50,744,10,5,1,4
50,764,3,3,1,5
51,197,3,1,1,1
52,115,9,5,7,1
52,272,3,5,1,1
52,295,5,5,7,2
52,411,3,1,1,1
52,442,5,5,6,1
52,516,3,5,7,2
52,535,3,5,7,1
52,667,3,5,7,2
52,710,3,5,7,2
53,160,21,5,11,8
53,360,4,5,11,6
53,392,5,3,1,1
53,464,9,5,11,7
53,544,5,3,1,1
53,629,3,3,1,1
53,640,19,5,11,8
53,648,3,5,11,7
53,667,25,5,11,8
54,667,6,1,1,1
55,788,5,1,1,1
56,60,3,1,1,1
56,210,4,2,1,2
56,744,4,2,1,2
57,115,8,3,1,1
57,633,3,3,1,1
57,726,3,3,1,1
58,220,4,1,1,1
58,541,3,1,3,1
58,726,16,1,3,1
59,96,7,3,1,1
59,115,7,3,1,1
59,213,10,3,1,1
60,110,3,5,5,1
60,151,3,5,1,1
60,189,7,5,5,1
60,210,23,5,1,1
60,600,11,5,5,1
60,602,8,5,5,1
60,667,8,5,5,1
60,696,30,5,3,1
60,729,4,5,4,2
60,744,17,5,1,4
61,87,3,9,3,1
61,178,11,9,2,1
61,240,3,1,1,1
61,258,3,9,3,1
61,336,8,9,3,1
61,354,11,9,3,1
61,411,10,9,2,1
61,440,3,9,1,1
61,472,3,9,3,1
61,499,4,9,3,1
61,519,7,9,3,1
61,584,3,3,1,1
61,632,3,9,3,1
61,726,15,9,3,1
62,187,5,1,1,1
62,631,11,1,2,1
63,348,5,3,2,1
63,573,5,3,2,1
63,610,4,2,1,1
63,617,3,2,1,1
63,667,3,3,1,8
63,696,17,3,2,1
64,70,14,8,1,1
64,72,4,3,1,8
64,84,3,4,1,1
64,87,3,9,4,1
64,115,17,9,5,5
64,145,18,8,1,3
64,148,83,9,1,1
64,189,28,9,5,5
64,223,5,4,1,1
64,242,5,3,1,1
64,244,4,4,1,3
64,256,3,2,1,1
64,261,6,8,1,1
64,266,8,3,1,7
64,303,42,8,1,3
64,336,8,9,5,5
64,351,3,8,1,3
64,354,13,9,5,5
64,357,4,9,5,3
64,366,5,8,1,3
64,383,8,3,1,8
64,396,3,1,1,1
64,472,3,9,5,5
64,477,8,8,1,1
64,538,7,9,4,1
64,552,8,9,1,1
64,564,22,4,1,3
64,584,13,3,1,2
64,586,7,4,1,1
64,588,3,9,1,1
64,602,51,9,5,4
64,632,3,9,5,5
64,633,3,9,5,5
64,655,21,8,1,3
64,668,3,3,1,1
64,726,3,9,5,5
64,742,15,9,2,2
64,766,3,1,1,1
64,783,3,2,1,1
65,148,4,1,1,1
66,160,4,1,1,1
67,140,4,5,1,1
67,187,3,5,1,1
67,190,4,5,1,1
67,259,4,5,1,1
67,631,3,5,1,1
68,250,7,3,3,1
68,303,3,3,3,2
68,329,3,3,3,1
68,663,5,3,3,2
70,72,4,3,2,1
70,148,46,8,1,1
70,303,11,8,1,1
70,326,8,3,2,1
70,350,3,8,1,1
70,351,3,8,1,1
70,366,22,8,1,1
70,528,8,1,1,1
70,564,3,3,1,4
70,655,3,8,1,1
71,573,5,2,1,1
71,696,4,2,1,1
72,145,13,3,1,6
72,148,24,3,3,4
72,303,3,3,3,3
72,376,3,3,1,1
72,536,3,3,3,3
72,723,5,3,1,1
72,726,4,3,3,1
73,247,3,4,1,1
73,310,5,4,1,1
73,538,5,4,1,1
73,682,4,4,1,3
74,148,3,3,2,2
74,280,4,3,2,1
74,482,4,3,2,1
74,726,7,3,2,2
75,503,3,1,1,1
75,640,4,1,1,1
76,297,3,2,2,3
76,403,3,2,1,1
76,674,3,2,2,1
76,696,7,2,2,4
77,89,9,9,1,1
77,115,3,9,1,1
77,341,3,3,1,1
77,345,17,3,1,1
77,360,48,9,1,1
77,419,7,9,1,1
77,439,3,3,1,1
77,600,7,9,1,1
77,602,6,9,1,1
77,696,4,9,1,1
77,726,8,9,1,1
77,758,3,2,1,1
77,790,4,2,1,1
78,110,3,9,3,1
78,189,3,9,3,1
78,237,4,5,10,1
78,258,9,9,3,1
78,293,7,5,10,1
78,332,4,1,2,1
78,336,7,9,3,1
78,354,3,9,3,1
78,399,14,5,10,1
78,411,5,9,2,1
78,445,5,1,3,1
78,602,5,9,3,1
78,632,18,9,3,1
78,633,4,9,3,1
78,699,39,5,9,1
78,708,4,5,10,1
79,89,4,3,1,1
79,607,4,3,1,1
79,696,3,3,1,1
80,360,3,2,1,1
80,788,3,2,1,1
81,95,5,5,1,1
81,339,12,5,1,1
81,619,17,5,1,1
81,790,3,5,1,1
82,218,3,1,1,1
83,345,3,1,1,1
84,148,3,4,1,1
84,303,5,4,1,1
84,691,3,4,1,1
85,115,7,3,2,4
85,391,3,3,1,1
85,442,6,3,2,5
85,567,4,3,2,1
85,687,3,3,2,5
86,336,4,1,1,1
87,115,23,9,4,1
87,272,5,9,3,1
87,336,9,9,4,1
87,354,14,9,4,1
87,411,5,9,2,1
87,472,31,9,4,1
87,519,8,9,4,1
87,520,3,1,1,1
87,633,14,9,4,1
87,688,3,1,1,1
87,710,14,9,4,1
87,726,14,9,4,1
88,114,8,2,2,1
88,139,3,8,1,1
88,163,5,8,1,3
88,174,4,2,1,1
88,190,12,8,1,4
88,304,3,2,2,1
88,338,10,8,1,1
88,345,16,8,1,4
88,360,60,8,1,4
88,439,5,8,1,1
88,523,28,8,1,1
88,631,10,8,1,4
88,635,3,3,1,1
88,667,3,3,1,1
88,715,5,3,1,1
88,765,5,2,1,1
89,100,14,2,1,1
89,110,24,9,5,3
89,115,6,9,5,10
89,117,3,2,1,1
89,128,5,3,1,1
89,132,10,2,1,3
89,175,5,3,1,4
89,189,34,9,5,6
89,281,3,1,1,1
89,282,3,5,1,1
89,296,6,2,1,1
89,306,209,5,10,2
89,317,3,2,1,1
89,321,3,5,1,5
89,345,4,5,7,1
89,354,6,9,5,10
89,355,112,5,10,3
89,357,7,9,5,3
89,360,90,9,5,10
89,361,3,5,8,4
89,368,11,9,5,9
89,369,4,2,1,1
89,397,5,2,1,1
89,419,116,9,5,5
89,460,123,5,10,3
89,474,11,2,2,1
89,501,38,5,10,1
89,518,42,5,10,1
89,538,3,9,4,1
89,546,3,1,1,1
89,573,7,9,1,1
89,583,3,2,1,1
89,584,3,5,8,1
89,596,4,5,8,5
89,597,4,2,1,1
89,598,129,9,5,7
89,600,169,9,5,1
89,602,11,9,5,4
89,607,40,9,5,9
89,631,11,5,10,3
89,633,25,9,5,8
89,666,3,3,1,4
89,672,4,2,1,1
89,696,64,9,5,8
89,710,8,9,5,9
89,726,31,9,5,8
89,752,5,3,1,1
89,753,12,5,1,1
89,781,6,5,9,1
89,790,3,5,10,3
90,360,3,1,2,1
90,713,3,1,1,1
91,189,19,5,2,1
91,421,4,5,1,1
91,538,14,5,2,1
91,597,3,2,1,1
91,598,3,5,2,1
91,600,3,5,2,1
91,602,5,5,2,1
92,98,6,2,1,1
92,686,4,2,1,1
93,633,8,2,1,1
93,644,4,2,1,1
94,110,3,1,1,1
95,110,53,13,1,1
95,115,8,13,1,1
95,122,4,1,1,1
