source,target,value,layer,wave,fragment
158,716,3,2,1,1
159,204,3,2,2,1
159,336,12,2,2,1
160,167,9,5,3,1
160,189,4,5,8,6
160,192,19,5,1,1
160,231,4,1,3,1
160,248,9,1,1,1
160,268,3,2,1,1
160,328,3,1,1,1
160,354,10,5,11,1
160,382,4,3,1,1
160,392,8,3,1,1
160,404,3,2,1,1
160,447,5,2,1,1
160,458,3,1,1,1
160,464,64,5,11,7
160,480,3,2,1,1
160,544,6,3,1,1
160,554,24,5,2,1
160,584,6,5,8,1
160,600,3,5,10,2
160,604,4,5,3,1
160,629,41,3,1,4
160,640,6,5,11,8
160,648,9,5,11,7
160,667,131,5,11,8
160,677,3,3,1,4
160,781,32,5,9,1
161,692,3,2,1,1
163,190,3,8,1,3
163,338,3,8,1,1
163,360,4,8,1,3
163,523,4,8,1,1
163,555,4,8,1,2
163,631,14,8,1,3
164,468,3,1,1,1
165,189,4,2,1,1
166,191,8,3,1,1
166,600,4,3,1,4
166,736,9,3,1,1
167,360,5,5,3,1
167,464,4,5,3,1
167,554,3,5,2,1
167,584,3,5,3,1
167,667,31,5,3,1
168,211,3,1,1,1
168,336,3,3,1,1
168,541,9,1,2,1
168,584,3,3,1,1
169,360,3,1,2,1
169,635,5,1,1,1
170,319,3,1,1,1
170,691,4,1,1,1
171,631,4,2,1,1
173,645,10,1,1,1
174,345,4,5,5,1
174,360,47,5,5,1
174,434,6,2,1,1
174,439,3,5,5,1
174,559,6,5,4,1
174,667,4,5,5,1
175,403,3,2,1,1
175,419,7,2,1,1
175,489,3,3,1,6
175,573,3,3,1,6
175,607,4,3,1,1
177,354,22,5,5,1
177,415,3,1,1,1
177,481,8,1,2,1
177,538,4,5,3,1
177,633,39,5,4,2
177,667,3,5,5,1
177,726,14,5,5,1
177,769,3,5,5,1
178,199,3,5,1,6
178,258,11,9,2,1
178,499,15,9,2,1
178,508,7,2,1,1
178,509,12,3,1,1
178,510,14,9,2,1
178,564,4,3,1,1
178,602,3,9,2,1
178,725,6,5,1,3
178,726,13,9,2,1
178,729,4,9,2,1
178,742,4,9,2,1
178,746,3,5,1,5
179,353,8,3,2,1
179,442,3,3,2,2
179,520,3,3,1,4
179,567,3,3,2,1
179,684,6,1,1,1
180,183,5,3,3,1
180,329,14,3,3,1
180,350,11,1,1,1
180,366,3,3,3,2
180,746,3,3,2,1
181,475,3,1,1,1
182,664,3,2,1,1
182,696,3,2,1,1
183,275,9,4,1,1
183,326,16,3,3,1
183,329,12,8,1,1
183,350,5,8,1,1
183,351,7,8,1,1
183,356,3,2,1,1
183,366,28,8,1,1
183,476,12,4,1,1
183,511,11,2,1,1
183,543,4,3,3,1
183,560,13,4,1,1
183,562,3,2,1,5
183,570,4,8,1,1
183,590,5,1,1,1
183,602,3,2,1,6
183,746,26,3,2,1
184,715,3,1,1,1
185,258,21,9,5,3
185,327,16,9,5,14
185,354,9,9,5,13
185,472,16,9,5,14
185,542,16,9,5,14
185,568,23,9,5,14
185,632,10,9,5,13
185,700,12,9,5,14
185,761,3,1,1,1
186,608,3,1,1,1
186,744,3,2,1,1
187,190,5,5,5,1
187,259,12,5,6,1
187,345,4,5,6,1
187,360,13,5,6,1
187,631,6,5,6,1
188,360,10,3,1,15
188,559,8,3,1,14
188,673,4,3,1,15
189,191,3,9,4,2
189,224,4,5,8,4
189,237,3,5,8,6
189,242,3,2,2,3
189,258,13,13,1,2
189,293,5,5,8,6
189,300,4,2,2,2
189,317,3,2,1,1
189,327,11,9,5,6
189,333,4,1,1,1
189,336,33,13,2,1
189,338,11,9,3,1
189,354,41,13,2,1
189,357,51,9,5,3
189,360,65,9,5,6
189,368,32,9,5,6
189,371,5,1,1,1
189,411,12,13,1,3
189,419,19,9,5,5
189,421,19,5,1,1
189,426,12,9,5,1
189,448,3,1,1,1
189,449,3,5,5,1
189,484,11,9,5,1
189,495,3,5,1,1
189,538,85,13,2,1
189,545,4,1,1,1
189,552,36,13,1,1
189,573,4,9,1,1
189,578,4,2,1,1
189,584,38,13,2,1
189,588,10,9,1,1
189,596,4,5,8,5
189,598,15,9,5,6
189,600,46,13,2,1
189,602,334,13,2,1
189,607,7,9,5,6
189,617,5,9,5,3
189,632,14,13,1,1
189,633,43,13,2,1
189,667,32,13,2,1
189,683,6,2,2,4
189,696,31,9,5,6
189,705,7,1,1,1
189,709,15,5,1,3
189,716,5,2,2,1
189,717,3,2,1,1
189,719,4,1,1,1
189,726,40,13,2,1
189,729,18,13,2,1
189,741,4,1,1,1
189,742,64,13,2,1
189,743,12,5,1,1
189,768,4,2,1,1
189,778,3,2,2,1
189,780,3,1,1,1
189,781,4,5,8,6
190,202,8,1,2,1
190,246,3,5,5,1
190,259,13,5,5,1
190,304,4,5,5,1
190,338,4,8,1,1
190,345,9,8,1,4
190,360,41,8,1,4
190,490,3,5,4,1
190,523,3,8,1,1
190,555,5,8,1,2
190,631,19,8,1,4
190,635,3,5,3,1
190,757,3,1,1,1
191,200,3,5,5,2
191,204,11,5,1,1
191,217,3,2,1,1
191,313,21,5,5,2
191,327,4,9,4,2
191,336,35,9,4,2
191,375,4,2,1,1
191,414,4,5,5,2
191,426,5,9,4,2
191,449,8,5,5,1
191,538,4,9,4,1
191,600,51,9,4,2
191,622,19,3,1,1
191,628,5,5,2,1
191,689,3,5,5,1
191,710,4,9,4,2
191,728,3,3,1,1
191,729,11,9,4,2
191,751,13,9,2,1
192,554,9,5,1,1
192,602,3,5,1,1
192,648,3,5,1,1
192,667,6,5,1,1
193,336,9,3,1,1
193,628,5,3,1,1
193,754,8,3,1,1
195,467,3,3,1,1
195,502,4,3,1,1
196,670,3,1,1,1
197,258,7,1,2,1
197,336,4,5,1,10
197,510,9,5,1,6
197,588,13,5,1,2
197,726,6,5,1,10
197,729,3,5,1,10
198,442,5,3,3,1
198,461,18,3,4,1
198,633,5,3,4,1
198,687,3,3,2,6
199,510,7,5,1,6
199,726,4,5,1,8
200,336,6,5,8,2
200,600,9,5,8,2
200,617,3,5,8,2
200,729,3,5,4,2
200,751,6,1,1,1
202,285,3,3,1,1
202,308,4,3,1,1
202,338,4,1,1,1
202,360,15,3,1,1
203,584,3,3,1,1
203,599,3,3,1,1
204,217,3,2,1,1
204,238,5,2,2,1
204,336,8,5,1,1
204,628,4,5,1,1
204,729,3,5,1,1
206,285,3,3,1,1
206,635,3,3,1,1
207,426,3,3,1,1
207,739,3,3,1,1
209,263,7,2,1,1
209,360,4,2,1,1
209,675,3,1,1,1
210,316,4,3,1,1
210,322,3,2,1,1
210,506,4,3,1,1
210,563,3,2,1,1
210,582,6,2,1,1
210,608,4,3,1,1
210,636,3,1,1,1
210,696,4,5,1,1
210,744,50,5,1,1
213,567,7,3,1,6
214,696,6,1,1,1
215,365,8,1,1,1
215,633,3,1,2,1
216,511,4,1,1,1
218,358,4,2,1,1
221,307,6,1,1,1
221,696,3,1,2,1
222,360,4,1,2,1
222,490,5,1,1,1
223,256,4,2,1,1
223,303,12,4,1,1
223,586,5,4,1,1
223,655,12,2,1,1
224,336,3,5,8,3
224,361,4,5,8,4
224,596,4,5,8,4
224,600,5,5,8,4
224,604,3,5,3,1
224,617,3,5,8,3
225,726,3,1,1,1
226,345,4,1,1,1
226,758,13,2,1,1
226,767,12,2,1,1
227,240,5,2,1,3
227,499,5,5,1,3
227,508,3,2,1,2
227,679,8,5,1,1
227,725,5,5,1,3
228,492,5,1,1,1
229,354,10,5,1,1
229,405,3,1,1,1
229,411,9,1,2,1
229,633,5,5,1,1
229,726,11,5,1,1
229,769,3,5,1,1
230,336,3,1,1,1
231,677,3,1,3,1
232,277,4,3,1,1
232,332,4,3,1,1
232,360,3,3,1,1
234,349,3,1,1,1
234,677,3,1,2,1
236,253,3,2,1,1
236,360,3,2,1,1
237,257,3,5,11,1
237,293,8,5,11,1
237,314,53,5,2,1
237,339,4,5,1,1
237,399,9,5,11,1
237,409,17,5,1,1
237,471,3,1,1,1
237,602,3,5,7,5
237,632,5,5,5,1
237,699,8,5,9,1
237,708,10,5,11,1
237,773,3,2,1,1
237,775,3,5,1,1
237,790,8,5,10,5
238,336,7,2,2,2
238,729,3,2,2,1
240,499,9,2,1,1
241,693,3,1,1,1
242,336,4,3,1,1
242,406,3,2,2,2
242,522,3,2,2,1
242,602,4,2,1,7
243,360,5,1,2,1
243,579,3,1,1,1
244,303,4,4,1,3
244,468,4,4,2,1
244,564,49,4,2,1
244,691,3,4,2,1
246,355,3,5,10,3
246,360,33,5,10,5
246,385,7,2,1,1
246,439,9,5,10,5
246,460,3,5,10,3
246,464,7,5,10,5
246,631,84,5,10,4
246,657,3,5,2,1
247,310,6,4,1,1
247,426,3,1,1,1
247,682,4,4,1,1
249,360,3,5,1,1
249,373,3,2,1,1
249,439,3,5,1,1
249,464,3,5,1,1
249,667,9,5,1,1
250,303,5,3,3,1
250,383,4,3,2,1
250,663,6,3,3,1
251,755,3,1,1,1
253,360,3,2,1,1
254,744,3,2,1,1
255,469,3,1,1,1
256,558,5,2,1,2
257,293,4,5,11,1
257,399,12,5,11,2
257,699,3,5,9,1
257,708,4,5,11,1
258,297,3,2,2,1
258,327,17,9,5,3
258,336,15,13,1,2
258,354,12,13,1,2
258,411,10,13,1,2
258,449,6,2,1,1
258,472,16,9,5,3
258,510,42,9,5,1
258,538,3,13,1,2
258,542,16,9,5,3
258,552,6,13,1,1
258,567,6,9,2,1
258,568,25,9,5,3
258,600,4,13,1,2
258,602,4,13,1,2
258,632,31,13,1,1
258,633,5,13,1,2
258,700,17,9,5,3
258,726,30,13,1,2
258,729,20,13,1,2
258,761,5,2,2,1
259,279,6,5,2,1
259,345,13,5,6,1
259,360,64,5,6,1
259,378,5,5,2,2
259,526,4,5,5,1
259,555,63,5,2,1
259,631,57,5,6,1
259,657,3,5,2,1
259,706,10,1,1,1
260,430,9,3,4,2
260,601,4,3,4,1
260,633,3,3,4,2
261,303,3,8,1,1
261,329,4,8,1,1
261,366,4,8,1,1
261,655,6,8,1,1
263,342,3,2,1,1
263,360,5,2,1,2
264,274,5,3,1,1
264,413,5,3,1,1
265,538,3,1,1,1
266,298,4,3,1,1
266,351,5,2,1,1
266,655,3,2,1,1
267,661,7,3,1,1
267,696,3,3,1,1
268,464,4,2,1,1
269,726,7,1,1,1
270,584,7,2,1,1
271,601,3,2,1,1
271,693,5,2,1,1
272,295,6,5,1,1
272,330,4,9,1,1
272,337,4,1,1,1
272,354,4,9,3,1
272,408,5,5,1,1
272,428,3,9,3,1
272,442,5,9,3,1
272,516,4,5,1,1
272,552,12,9,1,1
272,567,4,9,2,1
272,633,3,9,3,1
272,688,5,5,1,1
272,710,4,9,3,1
272,726,3,9,3,1
273,764,4,1,1,1
274,413,3,3,1,4
274,556,3,3,1,1
274,720,3,3,1,1
275,476,3,4,1,1
275,560,11,4,1,3
275,570,3,1,1,1
276,738,8,1,1,1
277,332,3,3,1,1
277,360,4,3,1,1
278,360,4,1,1,1
279,360,26,5,2,1
279,555,8,5,2,1
279,575,3,5,1,1
279,631,6,5,2,1
279,706,6,2,1,1
280,326,3,3,2,1
280,358,13,6,1,1
280,400,4,6,1,3
280,543,3,3,2,1
280,557,5,3,1,1
280,613,26,6,1,3
280,726,54,6,1,3
280,785,4,6,1,3
280,792,5,6,1,1
282,419,4,5,1,1
282,600,13,5,1,1
282,696,7,5,1,1
282,762,3,1,1,1
283,354,3,2,1,1
283,726,5,2,1,1
284,607,3,1,1,1
285,308,5,3,1,1
285,360,18,5,1,1
285,378,3,5,1,1
285,398,3,3,1,2
285,490,3,5,1,1
285,620,4,1,1,1
285,635,11,5,1,1
285,662,3,5,1,1
286,413,3,1,1,1
287,342,3,6,1,1
287,360,7,6,1,1
287,439,10,6,1,1
287,576,5,6,1,1
287,675,4,6,1,1
287,715,4,6,1,1
287,738,3,2,1,1
287,760,3,2,1,1
289,744,3,1,1,1
290,501,5,1,1,1
291,601,4,2,1,1
291,789,3,2,1,1
292,358,18,2,1,2
292,497,4,2,1,1
293,321,3,5,1,5
293,368,4,5,1,1
293,399,7,5,11,1
293,632,3,5,5,1
294,696,5,1,1,1
295,336,3,5,7,4
295,516,3,5,7,3
295,552,12,1,1,1
295,667,3,5,7,4
295,684,3,5,7,4
295,710,3,5,7,4
297,574,3,2,2,2
297,604,4,1,1,1
298,351,8,1,1,1
299,368,5,2,1,1
299,778,3,2,1,1
300,354,4,2,2,1
300,726,4,2,2,1
301,354,6,2,2,1
301,552,3,2,1,1
301,726,12,2,2,1
302,381,5,1,1,1
302,432,4,5,1,1
302,442,11,5,2,1
302,520,4,5,2,1
302,684,4,5,2,1
302,710,7,5,2,1
302,733,6,1,1,1
303,329,3,8,1,4
303,350,3,8,1,4
303,383,9,3,2,1
303,443,5,1,1,1
303,477,6,8,1,1
303,558,3,1,1,1
303,564,15,4,1,3
303,586,13,4,1,1
303,655,29,8,1,4
303,663,5,3,3,3
303,668,3,3,1,1
304,338,4,2,1,1
304,360,9,5,5,2
304,464,3,5,5,2
304,490,3,5,4,1
304,523,3,2,2,1
304,526,8,5,5,1
304,631,3,5,5,2
305,309,7,1,1,1
306,355,38,5,10,2
306,419,27,5,9,1
306,460,59,5,10,2
306,501,8,5,10,1
306,518,16,5,10,1
306,598,11,5,2,1
306,600,5,5,10,2
306,607,3,5,1,3
306,781,3,5,9,1
307,348,4,3,1,1
307,624,3,3,1,1
307,696,10,3,1,1
308,360,4,3,1,1
309,354,3,1,1,1
310,789,3,4,1,1
311,340,3,2,2,1
311,781,5,2,2,1
312,336,4,1,1,1
313,336,4,5,5,4
313,414,5,5,5,3
313,426,9,5,4,2
313,600,4,5,5,4
313,602,3,5,5,4
313,689,5,5,5,1
313,748,7,1,1,1
314,399,7,5,2,1
314,409,28,5,1,1
314,459,4,1,1,1
314,647,3,2,1,2
314,708,4,5,2,1
314,759,4,2,2,1
314,775,5,5,1,1
314,790,8,5,2,1
315,361,3,3,1,8
315,489,3,3,1,7
315,573,5,3,1,8
315,781,5,3,1,1
316,608,4,3,1,1
316,652,4,1,1,1
316,744,4,3,1,1
318,357,3,1,1,1
320,336,3,1,1,1
321,368,5,5,1,1
321,419,3,5,1,5
321,600,3,5,1,5
321,607,3,5,1,3
322,744,4,2,1,1
323,399,4,2,1,1
324,467,9,1,1,1
324,541,19,5,4,1
324,574,5,5,4,3
324,632,3,5,4,3
324,633,3,5,4,2
326,329,3,3,3,1
326,358,6,5,1,3
326,366,7,5,1,1
326,602,6,5,1,4
326,613,6,1,1,1
326,726,30,5,1,4
326,746,14,5,1,4
327,336,30,9,5,12
327,348,3,9,1,1
327,354,26,9,5,13
327,411,3,9,2,1
327,422,6,1,1,1
327,472,22,9,5,14
327,542,8,9,5,14
327,568,16,9,5,14
327,602,4,9,5,4
327,632,13,9,5,13
327,633,18,9,5,8
327,700,11,9,5,14
327,726,6,9,5,8
327,742,5,9,2,2
329,350,56,8,1,5
329,351,7,8,1,3
329,366,7,8,1,4
329,477,13,8,1,1
329,570,5,8,1,1
329,655,5,8,1,4
329,746,5,3,2,1
330,338,4,9,1,1
330,354,7,9,1,1
330,393,3,9,1,1
330,710,6,9,1,1
330,726,16,9,1,1
330,742,4,9,1,1
331,399,5,1,1,1
332,360,3,3,1,1
332,699,5,1,1,1
334,432,3,1,1,1
335,341,3,1,1,1
336,354,45,13,2,1
336,357,5,9,5,3
336,360,3,9,5,11
336,363,9,1,2,1
336,368,4,9,5,9
336,370,17,1,2,1
336,372,3,1,1,1
336,375,4,2,1,2
336,381,13,9,4,1
336,393,22,9,2,1
336,399,6,5,8,3
336,407,3,1,1,1
336,411,37,13,1,3
336,422,9,2,2,1
336,426,9,9,5,1
336,428,5,9,5,1
336,440,4,9,1,1
336,442,10,9,5,1
336,445,6,1,3,1
336,462,3,2,2,1
336,472,9,9,5,12
336,510,3,9,5,1
336,513,3,5,6,2
336,519,22,9,4,1
336,538,11,13,2,1
336,540,10,3,1,1
336,552,10,13,1,1
336,567,25,9,2,1
336,568,3,9,5,12
336,584,28,13,2,1
336,585,3,1,2,1
336,588,7,9,1,1
336,596,7,5,8,3
336,600,41,13,2,1
336,602,69,13,2,1
336,606,9,2,1,1
336,607,3,9,5,9
336,615,4,2,1,1
336,617,17,9,5,3
336,619,9,5,2,1
336,628,13,5,2,1
336,632,21,13,1,1
336,633,23,13,2,1
336,643,3,2,1,1
336,646,4,3,1,4
336,649,3,1,1,1
336,666,3,3,1,7
336,667,12,13,2,1
336,677,4,3,1,6
336,684,4,5,7,4
336,696,4,9,5,8
336,699,6,5,8,3
336,710,36,9,5,9
336,726,113,13,2,1
336,727,3,3,1,1
336,728,6,3,1,4
336,729,51,13,2,1
336,734,11,1,1,1
336,740,22,5,4,1
336,742,19,13,2,1
336,751,5,9,2,1
336,754,4,3,1,7
336,756,18,3,1,1
336,778,3,2,2,1
336,779,3,2,1,1
336,795,3,2,1,2
337,391,3,3,1,1
337,687,3,3,1,1
338,354,14,9,3,1
338,360,26,9,3,1
338,439,6,8,1,1
338,523,9,8,1,1
338,538,8,9,3,1
338,552,3,9,1,1
338,602,4,9,3,1
338,631,7,8,1,1
338,633,3,9,3,1
338,667,4,9,3,1
338,726,31,9,3,1
338,742,7,9,2,2
339,619,16,5,1,1
339,761,4,1,1,1
339,790,3,5,1,1
340,587,3,2,1,1
341,345,14,3,1,2
341,360,7,3,1,3
341,698,3,3,1,1
342,360,21,6,1,1
342,439,8,6,1,1
342,576,6,6,1,1
342,675,16,6,1,1
342,737,5,2,1,1
342,788,6,6,1,1
343,345,4,3,1,1
343,360,4,3,1,1
343,698,6,3,1,1
344,696,4,3,1,1
344,728,3,3,1,1
345,360,174,8,1,4
345,366,3,8,1,4
345,395,3,5,1,1
345,439,4,8,1,1
345,523,3,8,1,1
345,525,3,3,1,1
345,559,21,5,4,1
345,602,4,5,7,1
345,631,51,8,1,4
345,657,3,5,2,1
345,698,19,5,1,1
345,726,27,5,7,1
345,790,3,5,7,1
346,462,4,1,1,1
348,411,4,9,1,1
348,484,7,9,1,1
348,573,12,9,1,1
348,602,3,9,1,1
348,617,3,9,1,1
348,624,3,3,2,1
348,633,27,9,1,1
348,665,3,3,2,1
348,696,24,9,1,1
349,414,4,3,2,1
349,600,24,3,3,1
349,751,5,3,3,1
350,366,9,8,1,4
350,477,15,8,1,1
350,570,5,8,1,1
350,655,3,8,1,4
351,366,11,8,1,3
351,476,3,2,1,1
351,570,10,8,1,1
352,729,4,1,1,1
353,519,3,3,1,1
353,567,3,3,2,1
353,684,4,1,1,1
354,360,14,9,5,11
354,381,11,9,4,1
354,393,4,9,2,1
354,411,18,13,1,3
354,428,17,9,5,1
354,439,5,5,11,1
354,440,8,9,1,1
354,442,56,9,5,1
354,464,4,5,11,1
354,472,34,9,5,13
354,484,9,9,5,1
354,495,17,5,1,1
354,499,30,9,5,3
354,510,8,9,5,1
354,513,3,5,6,2
354,519,18,9,4,1
354,535,5,5,7,1
354,538,39,13,2,1
354,542,9,9,5,13
354,552,19,13,1,1
354,567,3,9,2,1
354,568,9,9,5,13
354,584,25,13,2,1
354,600,49,13,2,1
354,602,64,13,2,1
354,607,9,9,5,9
354,632,71,13,1,1
354,633,222,13,2,1
354,640,3,5,11,1
354,644,3,5,2,1
354,648,3,5,11,1
354,667,45,13,2,1
354,700,10,9,5,13
354,710,77,9,5,9
354,726,219,13,2,1
354,729,37,13,2,1
354,742,37,13,2,1
354,790,3,5,10,5
355,419,7,5,9,1
355,460,73,5,10,3
355,518,4,5,10,1
355,598,5,5,2,1
355,631,10,5,10,3
356,511,3,2,1,1
357,426,19,9,5,1
357,538,7,9,4,1
357,552,11,9,1,1
357,601,3,1,1,1
357,602,39,9,5,3
357,667,13,9,5,2
357,726,8,9,5,3
357,742,5,9,2,2
358,400,11,6,1,1
358,497,9,2,1,1
358,507,3,1,1,1
358,588,7,5,1,2
358,602,8,5,1,3
358,613,12,6,1,1
358,726,37,6,1,1
358,729,4,5,1,3
358,742,6,5,1,1
358,785,9,6,1,1
359,456,3,1,1,1
360,368,3,9,5,9
360,378,5,5,2,2
360,395,4,5,1,1
360,398,18,3,1,6
360,419,10,9,5,5
360,434,3,2,1,1
360,437,5,3,2,1
360,439,112,8,1,1
360,457,3,1,1,1
360,464,57,5,11,6
360,484,4,9,5,1
360,490,18,5,4,1
360,501,4,5,10,1
360,503,3,3,2,2
360,515,6,2,1,1
360,523,10,8,1,1
360,524,5,1,1,1
360,525,3,3,1,1
360,526,17,5,5,1
360,534,7,3,2,2
360,555,77,8,1,2
360,559,73,5,4,1
360,575,8,5,1,1
360,576,53,6,1,1
360,598,16,9,5,7
360,600,91,9,5,1
360,602,29,9,5,4
360,607,3,9,5,9
360,620,6,1,2,1
360,627,11,3,1,12
360,631,228,8,1,4
360,633,11,9,5,8
360,635,48,5,3,1
360,640,38,5,11,6
360,648,4,5,11,6
360,653,6,3,1,9
360,660,3,1,1,1
360,662,5,5,2,1
360,667,91,9,5,2
360,673,13,3,1,15
360,675,40,6,1,1
360,696,16,9,5,8
360,698,4,5,1,1
360,706,13,2,1,1
360,707,4,1,1,1
360,712,6,3,1,1
360,715,73,6,1,1
360,724,12,3,1,1
360,726,56,9,5,8
360,731,3,1,1,1
360,737,48,5,11,5
360,738,7,2,1,2
360,760,3,3,1,1
360,765,5,2,1,1
360,777,11,3,2,1
360,788,80,6,1,1
360,790,6,5,10,5
360,794,3,1,1,1
361,362,4,1,1,1
361,431,8,3,2,1
361,596,14,5,8,4
361,600,31,5,8,4
361,605,3,3,1,1
361,617,3,5,8,3
361,696,5,5,3,1
361,729,3,5,4,2
361,751,4,3,2,1
361,762,3,3,2,1
362,600,5,1,2,1
363,728,3,1,1,1
364,406,3,2,1,1
364,522,3,2,1,1
366,469,9,3,1,1
366,476,5,2,1,1
366,477,3,8,1,1
366,505,4,3,3,1
366,536,9,3,3,2
366,543,3,3,3,1
366,560,7,2,1,1
366,570,3,8,1,1
366,588,14,5,1,1
366,602,10,5,1,1
366,726,27,5,1,1
366,746,15,5,1,1
367,439,6,2,1,1
367,464,4,2,1,1
368,484,3,9,5,1
368,538,8,9,4,1
368,600,9,9,5,1
368,602,7,9,5,4
368,607,5,9,5,9
368,633,9,9,5,8
368,667,3,9,5,2
368,696,3,9,5,8
368,709,5,5,1,1
368,743,5,5,1,1
368,778,6,2,1,1
369,419,3,2,1,1
370,540,6,1,1,1
373,595,7,2,1,1
373,667,10,3,1,1
374,488,5,2,1,1
374,726,6,2,1,1
375,449,3,2,1,1
376,723,3,3,1,1
376,726,3,3,1,1
377,564,3,1,2,1
378,526,5,5,2,2
378,555,3,5,2,1
378,635,4,5,2,2
378,662,4,5,2,1
379,633,3,1,1,1
380,744,12,1,1,1
381,393,17,9,2,1
381,428,5,9,4,1
381,552,8,9,1,1
381,574,6,2,2,1
381,615,3,2,1,1
381,633,5,9,4,1
381,667,3,9,4,1
381,710,20,9,4,1
381,726,30,9,4,1
381,729,32,9,4,1
381,742,8,9,2,2
381,770,3,2,2,1
382,629,4,3,1,1
382,667,3,3,1,1
383,663,4,3,2,1
383,668,3,3,1,1
384,749,13,2,1,1
385,631,8,2,1,1
386,790,5,2,1,1
388,726,5,1,1,1
390,696,4,1,1,1
391,687,3,3,1,1
392,544,3,3,1,1
393,481,11,2,1,1
393,519,13,9,2,1
393,602,7,9,2,1
393,633,3,9,2,1
393,726,18,9,2,1
393,742,3,9,2,1
395,631,3,5,1,1
395,657,8,5,1,1
395,659,3,1,1,1
397,460,6,2,1,1
398,712,4,3,1,1
398,715,3,3,1,4
398,777,9,3,1,6
399,632,5,5,5,1
399,647,3,2,1,1
399,689,3,5,5,1
399,699,13,5,9,1
399,708,21,5,11,1
400,613,5,6,1,3
400,726,16,6,1,3
400,785,5,6,1,3
400,792,3,6,1,1
401,726,4,1,1,1
402,531,8,4,1,1
402,616,3,4,1,1
402,631,3,1,1,1
403,607,5,1,1,1
404,781,4,2,1,1
406,522,3,2,2,1
408,644,5,5,1,2
408,680,3,1,1,1
408,688,18,5,1,2
408,726,8,5,1,2
408,742,5,5,1,1
409,759,7,1,1,1
409,775,3,5,1,1
409,790,13,5,1,1
410,744,3,1,1,1
411,428,9,9,2,1
411,442,31,9,2,1
411,513,5,1,3,1
411,519,17,9,2,1
411,538,5,13,1,3
411,584,27,13,1,3
411,602,7,13,1,3
411,607,3,9,2,1
411,632,4,13,1,1
411,633,27,13,1,3
411,667,4,13,1,3
411,710,13,9,2,1
411,726,21,13,1,3
411,769,4,1,1,1
412,584,3,1,1,1
413,664,3,2,1,2
413,678,3,2,1,1
413,696,7,3,1,6
413,735,3,2,1,1
413,764,4,3,1,6
414,449,3,5,5,1
414,470,3,1,1,1
414,600,12,5,5,3
414,617,3,5,5,3
414,622,4,3,2,1
414,751,6,3,2,1
414,754,3,3,1,8
415,494,6,3,2,1
415,538,8,3,1,1
415,601,4,3,2,1
415,633,9,3,2,1
416,582,3,1,1,1
416,718,3,1,1,1
418,656,3,1,1,1
419,460,4,5,9,1
419,501,12,5,9,1
419,518,28,5,9,1
419,596,3,5,8,5
419,598,21,9,5,5
419,600,26,9,5,1
419,607,21,9,5,5
419,696,27,9,5,5
419,710,3,9,5,5
419,726,10,9,5,5
419,753,4,5,1,1
420,667,3,1,1,1
421,588,4,5,1,1
421,602,9,5,1,1
421,633,4,5,1,1
423,425,4,1,1,1
423,426,3,3,1,1
423,538,4,3,1,1
423,601,6,3,1,1
425,538,3,1,2,1
426,444,15,5,4,1
426,456,3,5,4,2
426,504,12,5,2,1
426,538,47,9,4,1
426,601,23,5,4,1
426,602,8,9,5,1
426,633,41,9,5,1
426,667,4,9,5,1
426,689,3,5,4,2
426,726,36,9,5,1
426,729,4,9,4,3
426,739,5,3,1,1
428,442,11,9,5,1
428,456,3,5,6,1
428,510,15,9,5,1
428,513,7,5,6,1
428,535,10,5,6,1
428,552,4,9,1,1
428,574,8,5,6,1
428,584,4,5,6,1
428,603,3,2,1,1
428,633,9,9,5,1
428,667,12,9,5,1
428,710,10,9,5,1
428,726,18,9,5,1
428,729,14,9,4,3
428,769,4,5,5,1
430,494,4,3,3,1
430,601,7,3,4,1
430,633,3,3,4,2
431,596,3,1,1,1
431,600,7,3,2,1
432,633,4,5,1,1
432,710,5,5,1,1
432,742,3,5,1,1
435,462,3,2,1,1
436,507,7,1,1,1
437,503,3,3,2,1
437,640,5,3,2,1
438,698,4,1,1,1
439,464,6,5,11,4
439,555,4,8,1,1
439,559,13,5,4,1
439,573,7,3,2,1
439,576,12,6,1,1
439,624,4,3,2,1
439,631,10,8,1,1
439,665,5,3,2,1
439,667,16,5,11,4
439,675,14,6,1,1
439,696,9,5,3,1
439,698,7,5,1,1
439,715,32,6,1,1
439,737,14,5,11,4
439,738,9,2,1,1
439,788,14,6,1,1
440,632,5,9,1,1
440,633,3,9,1,1
440,726,19,9,1,1
440,742,3,9,1,1
441,594,4,1,1,1
442,461,9,3,3,1
442,513,7,5,6,1
442,516,4,5,6,1
442,519,8,9,4,1
442,520,14,5,3,1
442,567,6,9,2,1
442,584,19,5,6,1
442,602,5,9,5,1
442,633,41,9,5,1
442,641,3,2,1,1
442,684,15,5,6,1
442,687,3,3,2,6
442,710,51,9,5,1
442,726,10,9,5,1
442,742,3,9,2,2
442,769,8,5,5,1
444,538,5,5,3,1
444,601,3,5,4,1
444,607,5,5,1,3
444,633,12,5,4,1
444,726,10,5,4,1
444,772,4,5,1,1
447,667,3,2,1,1
449,600,3,5,5,1
449,729,3,5,4,2
450,681,4,2,1,1
451,729,3,2,1,1
451,770,3,2,1,1
452,600,3,1,1,1
453,631,6,2,1,1
454,667,3,2,1,1
456,535,8,5,7,1
456,574,4,5,7,1
456,584,8,5,7,1
456,667,3,5,7,1
460,518,6,5,10,1
460,598,6,5,2,1
