id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
20,Allard Seaworth,3,2,1.0986122886681096,1.6664365792258955e-05,0.0004950253201900616,0.15384615384615385,0.44543720880779086,8.673953144248416e-05,0.013868677824209438
21,Alleras,8,4,0.9002560512685369,0.014199146845567868,0.0017492327800297783,0.3076923076923077,0.3650127955291103,0.07390784381603696,0.04900667678264402
22,Alliser Thorne,15,8,1.4878167164014493,0.0022178580335597757,0.0019282775565581177,0.6153846153846154,0.6032418644933293,0.01154415169680733,0.05402281276701294
23,Alyn,5,5,1.3321790402101223,2.3037671549563076e-05,0.0005386631685360731,0.38461538461538464,0.540137880692053,0.00011991316445197106,0.015091240054804396
24,Alys Arryn,2,1,0.6931471805599453,0.0025157232704402514,0.0006496157440408314,0.07692307692307693,0.28103958838465737,0.013094567200289547,0.018199698270337628
25,Alys Karstark,3,3,1.0986122886681096,0.0,0.000501540309580364,0.23076923076923078,0.44543720880779086,0.0,0.014051202404664346
26,Alysane Mormont,3,3,1.0986122886681096,0.0,0.0007203806072959214,0.23076923076923078,0.44543720880779086,0.0,0.020182253605855155
27,Amabel,2,2,0.6931471805599453,0.0,0.00043167054397662134,0.15384615384615385,0.28103958838465737,0.0,0.012093724212560362
28,Amerei Frey,3,3,1.0986122886681096,2.2986556281495853e-06,0.00041298270622871326,0.23076923076923078,0.44543720880779086,1.1964710485768589e-05,0.0115701639210235
29,Amory Lorch,20,12,1.344257668600708,0.001181453818691459,0.0012269299048543038,0.9230769230769231,0.5450352139660616,0.006149574003100371,0.03437378830799835
30,Anders Yronwood,2,2,0.6931471805599453,1.6618627083792945e-05,0.00028016766515037586,0.15384615384615385,0.28103958838465737,8.650145732729827e-05,0.007849204730052437
31,Andrew Estermont,3,2,1.0986122886681096,0.0025157232704402514,0.0005895457130590675,0.15384615384615385,0.44543720880779086,0.013094567200289547,0.016516770402614612
32,Andrey Dalt,5,5,0.9502705392332347,4.103318061750603e-05,0.0008327456807645629,0.38461538461538464,0.3852913907612414,0.00021358141706242663,0.023330284502601793
33,Anguy,9,6,1.7351264569629226,0.001262505596486998,0.0012942057866821106,0.46153846153846156,0.7035146920258103,0.006571455838641402,0.036258595998342774
34,Anya Waynwood,7,4,0.7963116401738131,0.0005839441096849423,0.0011477923971529276,0.3076923076923077,0.32286807456905664,0.0030394819157293844,0.03215666414614762
35,Archibald Yronwood,4,4,0.5623351446188083,2.3763129128843687e-06,0.0009188237519343285,0.3076923076923077,0.2280012701634715,1.2368923677855367e-05,0.0257418561699349
36,Ardrian Celtigar,1,1,-0.0,0.0,0.0004325111836493774,0.07692307692307693,-0.0,0.0,0.012117275655915272
37,Areo Hotah,9,6,1.5229550675313184,0.00013039148881031603,0.0018631866059600133,0.46153846153846156,0.6174888642864705,0.0006786994947475632,0.052199218323863955
38,Arianne Martell,20,6,2.029682547488822,0.017878370880234015,0.0038156591113739564,0.46153846153846156,0.82294376100178,0.09305853774686233,0.10689987914625684
39,Armen,6,4,0.45056120886630463,1.6898225158288847e-05,0.0010564214254826735,0.3076923076923077,0.18268203382085163,8.795679059808263e-05,0.029596806060316394
40,Arnolf Karstark,5,4,1.6094379124341005,0.002619954342941904,0.0007044558282218133,0.3076923076923077,0.652553716045916,0.013637099361623925,0.019736103436575485
41,Aron Santagar,1,1,-0.0,0.0,0.00021468216241776704,0.07692307692307693,-0.0,0.0,0.006014556475683867
42,Arron,3,3,1.0986122886681096,0.0,0.0005203135548378113,0.23076923076923078,0.44543720880779086,0.0,0.014577155481348263
43,Arson,1,1,-0.0,0.0,0.00022144984783134574,0.07692307692307693,-0.0,0.0,0.006204160612661119
44,Arstan,8,6,1.2130075659799042,0.00012393480825075012,0.001309324389891656,0.46153846153846156,0.49181927967315037,0.0006450918883500427,0.036682160265691245
45,Arthor Karstark,1,1,-0.0,0.0,0.00027829419737593195,0.07692307692307693,-0.0,0.0,0.007796717473505992
46,Arthur Dayne,5,3,1.6094379124341005,0.005297158568434573,0.0010605214554276334,0.23076923076923078,0.652553716045916,0.027572189540870047,0.029711672900571005
47,Arwyn Oakheart,1,1,-0.0,0.0,0.00023521442621971504,0.07692307692307693,-0.0,0.0,0.00658979038808569
