id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
24,Bard Hoskuldsson,2,2,0.6931471805599453,0.0,0.0006759679489808678,0.16666666666666666,0.3210073813591232,0.0,0.01864835163818662
25,Thjostolf Bjarnarson,7,3,1.5498260458782016,0.0055687139961746665,0.004441614278512785,0.25,0.7177488627272866,0.026549561040854812,0.12253359797868361
26,Bjorn Gold-bearer,1,1,-0.0,0.0,0.0003105306478986509,0.08333333333333333,-0.0,0.0,0.008566803685261503
27,Ozur,5,3,1.0549201679861442,0.00015727818601098576,0.001228854368156136,0.25,0.48855015235667143,0.0007498440039768585,0.033901175941917126
28,Eyvind,1,1,-0.0,0.0,0.00042707806920696574,0.08333333333333333,-0.0,0.0,0.011782070471738763
29,Harald Eiriksson Grey-cloak,3,2,1.0986122886681096,0.003443344156890782,0.0016133853809228633,0.16666666666666666,0.5087846619089057,0.016416586655526123,0.04450947409077643
30,Eirik Haraldsson Blood-axe,2,2,-0.0,0.0007652269187711301,0.000743995526409257,0.16666666666666666,-0.0,0.0036483178708720536,0.020525071069767944
31,Harald Halfdanarson Fair-hair,2,2,-0.0,9.859393681948086e-05,0.0009427220168875579,0.16666666666666666,-0.0,0.0004700592893880209,0.026007463363440123
32,Gunnhild Ozurardottir,6,3,1.3296613488547582,0.005475525552675814,0.002874798898496362,0.25,0.6157871223619469,0.026105273136919616,0.07930887970214853
33,Ozur Toti,1,1,-0.0,0.0,0.00034063364874161275,0.08333333333333333,-0.0,0.0,0.009397274043997506
34,Soti,2,2,0.6931471805599453,2.009121411206879e-06,0.000631576264290206,0.16666666666666666,0.3210073813591232,9.578745035562484e-06,0.017423690399186963
35,Ogmund,4,3,1.0397207708399179,0.0027153275872460973,0.0010890277509279511,0.25,0.4815110720386848,0.012945673915562696,0.03004369138162015
36,Ulf the Unwashed,2,2,0.6931471805599453,0.0,0.0005081638871888355,0.16666666666666666,0.3210073813591232,0.0,0.014019035772942268
37,Atli Arnvidsson,3,2,1.0986122886681096,0.002728386876418942,0.0010906122023497573,0.16666666666666666,0.5087846619089057,0.013007935758293851,0.030087402636439275
38,Earl Arnvid of Gotland,1,1,-0.0,0.0,0.00040385875878983847,0.08333333333333333,-0.0,0.0,0.011141504796831217
39,Hakon Haraldsson,1,1,-0.0,0.0,0.0014564520827264785,0.08333333333333333,-0.0,0.0,0.040180056796777754
40,King Athelstan,1,1,-0.0,0.0,0.0014564520827264785,0.08333333333333333,-0.0,0.0,0.040180056796777754
41,Asolf,1,1,-0.0,0.0,0.00042707806920696574,0.08333333333333333,-0.0,0.0,0.011782070471738763
42,Gudrod Eiriksson,2,2,0.6931471805599453,9.041046350430957e-06,0.0006090446271619426,0.16666666666666666,0.3210073813591232,4.3104352660031175e-05,0.016802095998468162
43,Sigmund Ozurarson,2,2,0.6931471805599453,6.199842028877837e-05,0.00047670007605513326,0.16666666666666666,0.3210073813591232,0.00029558545204946883,0.013151023887492095
44,Jorund Hrafnsson the Godi,3,2,1.0986122886681096,0.029630939741943512,0.0009579306768676419,0.16666666666666666,0.5087846619089057,0.14126932069361478,0.02642703420208983
45,Thjostolf   ,1,1,-0.0,0.0,0.00030372053533986337,0.08333333333333333,-0.0,0.0,0.008378928840184352
46,Thorvald Osvifsson,4,3,1.0397207708399179,0.0002852192147195596,0.0013034427394771966,0.25,0.4815110720386848,0.0013598193328699204,0.03595889210821149
47,Osvif,4,3,1.0397207708399179,0.0027457644720015884,0.0014180254411217423,0.25,0.4815110720386848,0.013090785682887159,0.039119956941451664
48,Svan from Svanshol,2,2,0.6931471805599453,0.0,0.001033413106698509,0.16666666666666666,0.3210073813591232,0.0,0.028509415321065924
49,Ljot the Black,1,1,-0.0,0.0,0.00030372053533986337,0.08333333333333333,-0.0,0.0,0.008378928840184352
50,Thorarin Oleifsson,6,4,1.0114042647073516,0.003967904988074511,0.001626853120094441,0.3333333333333333,0.468397251860535,0.018917497964083315,0.044881017055530326
51,Ragi Oleifsson,2,2,0.6931471805599453,0.0,0.0005192643829023757,0.16666666666666666,0.3210073813591232,0.0,0.014325272108165523
52,Glum Oleifsson,8,4,1.6674619334292946,0.007037195834128145,0.002606458168073222,0.3333333333333333,0.77222789586153,0.03355073729463879,0.07190599572322161
53,Oleif Hjalti,3,2,0.6365141682948128,1.192547030652027e-05,0.0006550410686872553,0.16666666666666666,0.2947797410028236,5.685621528801003e-05,0.018071028670442524
54,Hrafn Haengsson,1,1,-0.0,0.0,0.0008072894336273721,0.08333333333333333,-0.0,0.0,0.02227119977326299
55,Thorgerd   ,2,1,0.6931471805599453,0.002728386876418942,0.0007903169099066308,0.08333333333333333,0.3210073813591232,0.013007935758293851,0.021802968119663087
56,Thorgerd Glumsdottir,6,5,1.2424533248940002,0.001248262420476025,0.0012263016872153453,0.4166666666666667,0.5753997123135761,0.0059512518240654715,0.03383075353228109
57,Sigurd Fafnisbani,1,1,-0.0,0.0,0.0005543473203131595,0.08333333333333333,-0.0,0.0,0.015293127099401664
58,Gunnar Hamundarson,87,12,2.039731959181529,0.19007879273842568,0.03624813399575082,1.0,0.9446320107115409,0.9062251201709114,1.0
59,Rannveig Sigfusdottir,9,6,1.6769877743224173,0.0011031350040917266,0.002006423067523469,0.5,0.7766394628794824,0.005259338178896535,0.055352451184347076
